model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,feature_set,scheme,horizon,train_start,train_end,test_start,test_end,n_train,n_test
OLS,-0.0039119444994597,0.0396777794753008,0.0268854141631159,-0.0204550814332381,0.2652293065860683,-0.0038569837198323,0.4846560846560847,0.4980842911877394,0.2674897119341564,0.3480589022757697,0.4980842911877394,1044,-0.9255121624914272,-0.3619240665275018,-20.40316409413435,0.4761904761904761,0.7646156976054816,284,7959.683590586565,63,19,repr_svi,expanding,5,2016-01-04,2022-10-11,2022-10-12,2023-01-11,100293,3780
OLS,0.0043888827466629,0.0333802488028412,0.0229334519963482,-0.012773671666106,0.2827746469404699,0.0044114180002399,0.5031746031746032,0.4577735124760076,0.2664804469273743,0.336864406779661,0.4577735124760076,1042,0.4181950718680035,-0.1462539250838672,4.1382284994159635,0.5396825396825397,0.9894947057902348,274,10413.822849941596,63,20,repr_svi,expanding,5,2016-01-04,2023-01-11,2023-01-12,2023-04-20,104073,3780
OLS,0.0079463613001259,0.0335583632475293,0.0234993374153155,0.0934600031727148,0.6739801498132524,0.0079771560299991,0.5497354497354497,0.528643216080402,0.2990335417851051,0.3819898329702251,0.528643216080402,995,4.1861626980962106,-0.0699196662378687,55.6708690309891,0.746031746031746,1.4615797487929412,236,15567.08690309891,63,21,repr_svi,expanding,5,2016-01-04,2023-04-20,2023-04-21,2023-07-21,107853,3780
OLS,0.0007925685456406,0.0302421368643813,0.0213510495679931,0.0221958494006887,0.6516790458004599,0.0008566025413195,0.5145502645502645,0.5048209366391184,0.3964305029745809,0.4441078461072402,0.5048209366391184,1452,1.729929834397986,-0.0791412407925458,14.1304868860453,0.5555555555555556,1.5322573122065677,364,11413.048688604533,63,22,repr_svi,expanding,5,2016-01-04,2023-07-21,2023-07-24,2023-10-19,111633,3780
OLS,0.0018655588386352,0.0321340134503593,0.0231055815197216,0.0183122148076934,0.2622327499366117,0.0018813430560042,0.5119047619047619,0.5261984392419174,0.2494714587737843,0.3384725708139118,0.5261984392419174,897,1.083440895475629,-0.1474660219920924,12.01233224044458,0.5873015873015873,1.0330684399828778,217,11201.233224044458,63,23,repr_svi,expanding,5,2016-01-04,2023-10-19,2023-10-20,2024-01-22,115413,3780
OLS,-0.0028993628926032,0.0326493772867808,0.0225866380817138,-0.042163402453999,0.6091185870622278,-0.0028920876571549,0.4891534391534392,0.477056277056277,0.2933972310969116,0.3633366303989449,0.477056277056277,1155,-1.7487111792025347,-0.1703771528977044,-14.63246981777112,0.365079365079365,0.9188557509262564,298,8536.753018222887,63,24,repr_svi,expanding,5,2016-01-04,2024-01-22,2024-01-23,2024-04-22,119193,3780
OLS,0.0009825320837991,0.0358785178266476,0.0243256274775521,0.0199347807699759,0.6802587435458068,0.000990276786466,0.5142857142857142,0.4873949579831932,0.2885572139303483,0.3625,0.4873949579831932,1071,0.3449426847609368,-0.0828105973967225,2.9098984615439027,0.4603174603174603,1.3237472204353236,419,10290.98984615439,63,25,repr_svi,expanding,5,2016-01-04,2024-04-22,2024-04-23,2024-07-23,122973,3780
OLS,-0.000316363189208,0.0331792216699623,0.023963999561786,0.0260878494259164,0.6492814749695967,-0.0003113001559384,0.5235449735449735,0.4972253052164262,0.2494432071269487,0.332220986281053,0.4972253052164262,901,0.9038371438672264,-0.1012081699159217,10.41328721304533,0.4761904761904761,1.52805356500796,296,11041.328721304531,63,26,repr_svi,expanding,5,2016-01-04,2024-07-23,2024-07-24,2024-10-21,126753,3780
OLS,-0.0026164006020441,0.0339884146988847,0.0212094827084604,-0.0026419285278048,0.5446516391881036,-0.0012567459771135,0.5025558245897229,0.4578005115089514,0.5314726840855107,0.4918933773014564,0.4578005115089514,1955,1.1462895467653431,-0.0495105391621882,7.11712310200463,0.6031746031746031,1.0582837874407636,423,10711.712310200464,63,0,repr_svi,rolling_9m_3m,5,2016-01-04,2016-09-30,2016-10-03,2016-12-30,10856,3717
OLS,0.0081303247598447,0.0235109819761463,0.0153925623588624,0.0377321177975603,0.3527815845571005,0.0090651378987383,0.5084745762711864,0.498567335243553,0.4774972557628979,0.4878048780487805,0.498567335243553,1745,1.4787345513006074,-0.0385887016489017,6.378592716501763,0.6349206349206349,0.9760853655861008,419,10637.859271650175,63,1,repr_svi,rolling_9m_3m,5,2016-04-05,2016-12-30,2017-01-03,2017-04-03,10856,3717
OLS,0.0031381326607166,0.0284594059830686,0.0178084759685016,0.0715449441701444,0.6551939939727698,0.0035180862753201,0.5359160613397902,0.5375494071146245,0.4437194127243067,0.486148346738159,0.5375494071146245,1518,3.333605256952141,-0.0342277291341456,37.40892779539764,0.6190476190476191,2.784278199610119,458,13740.892779539765,63,2,repr_svi,rolling_9m_3m,5,2016-07-05,2017-04-03,2017-04-04,2017-07-03,10856,3717
