n_periods,mean_return,annualized_return,annualized_vol,sharpe,max_drawdown,total_return,win_rate,strategy,top_n,bottom_n,effective_spread_fraction,short_fee_bps_annual,horizon,rebalance_every,avg_turnover,avg_spread_cost,avg_short_fee_cost,model,feature_set,scheme,cost_scheme,hurdle_bps
1701,0.000129464369534,0.0331608705396104,0.3132395915979516,0.1058642375647488,-0.6448472383150277,-0.1050281177615799,0.0629041740152851,long_flat_hurdle,,,0.25,,1,1,0.1938770863532709,2.4234635794158863e-05,,XGBoost,C,expanding,25pct_spread,10.0
2016,0.0001617867890211,0.0416093543091564,0.2239488764019462,0.1857984508682038,-0.616770282878017,0.1333083505929893,0.527281746031746,long_short_decile,6.0,6.0,0.15,50.0,1,1,2.190806878306878,0.000164310515873,1.984126984126983e-05,XGBoost,C,rolling_9m_3m,15pct_spread,
2016,0.0001324585735502,0.0339406231579768,0.314277015060433,0.1079958811224242,-0.725618722034708,-0.1224964693574829,0.2088293650793651,long_flat_hurdle,,,0.15,,1,1,0.481309934880419,3.6098245116031414e-05,,XGBoost,C,rolling_9m_3m,15pct_spread,10.0
2016,5.2246445105819655e-05,0.0132528104668678,0.2239491483947031,0.0591777667468966,-0.6569076344177055,-0.091275381924346,0.5233134920634921,long_short_decile,6.0,6.0,0.25,50.0,1,1,2.190806878306878,0.0002738508597883,1.984126984126983e-05,XGBoost,C,rolling_9m_3m,25pct_spread,
2016,0.0001083930768062,0.0276900102206092,0.3142780766555809,0.0881067191045428,-0.7313690880953881,-0.1640889426970984,0.2083333333333333,long_flat_hurdle,,,0.25,,1,1,0.481309934880419,6.016374186005238e-05,,XGBoost,C,rolling_9m_3m,25pct_spread,10.0
1701,0.0001699654125024,0.043757981859877,0.2891317243420087,0.151342720898093,-0.5731869879647654,0.0071133165642229,0.5067607289829512,long_short_decile,6.0,6.0,0.15,50.0,1,1,1.0009798157946306,7.506613756613757e-05,1.984126984126984e-05,OLS,candidate_6,expanding,15pct_spread,
1701,0.0014751586938886,0.449858655142791,0.4229532493359772,1.0636131909355333,-0.6288250636305461,5.709863772809015,0.5308641975308642,long_flat_hurdle,,,0.15,,1,1,0.4267025807694868,3.200269355771152e-05,,OLS,candidate_6,expanding,15pct_spread,10.0
1701,0.0001199213207916,0.0306795695663015,0.2891375115370568,0.1061071923985538,-0.5761375959900544,-0.0750944270293854,0.5049970605526161,long_short_decile,6.0,6.0,0.25,50.0,1,1,1.0009798157946306,0.0001251102292768,1.984126984126984e-05,OLS,candidate_6,expanding,25pct_spread,
1701,0.0014538235648501,0.4420958144813864,0.4229585050573958,1.0452463047678724,-0.629715382119865,5.470796491456622,0.5308641975308642,long_flat_hurdle,,,0.25,,1,1,0.4267025807694868,5.3337822596185864e-05,,OLS,candidate_6,expanding,25pct_spread,10.0
2016,0.0005561550925925,0.1504027804318797,0.2824318625012346,0.5325276656107534,-0.4452232848130232,1.225672183587339,0.5277777777777778,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.8921957671957671,6.691468253968255e-05,1.984126984126983e-05,OLS,candidate_6,rolling_9m_3m,15pct_spread,
2016,0.0013065309955882,0.3896208124381686,0.2562798731232202,1.5202942302489657,-0.3854304642721469,9.688953979170188,0.5659722222222222,long_flat_hurdle,,,0.15,,1,1,0.5300205984180232,3.9751544881351735e-05,,OLS,candidate_6,rolling_9m_3m,15pct_spread,10.0
