model,feature_set,scheme,horizon,window,ic,n_test
ElasticNet,B,expanding,1,16,0.2882301655245887,3730
ElasticNet,B,expanding,1,17,0.33926376817093873,3740
ElasticNet,B,expanding,1,18,0.2832869561517671,3780
ElasticNet,B,expanding,1,19,0.29681343158442747,3780
ElasticNet,B,expanding,1,20,0.2952421064223692,3780
ElasticNet,B,expanding,1,21,0.27555589128702945,3780
ElasticNet,B,expanding,1,22,0.22728330883464293,3780
ElasticNet,B,expanding,1,23,0.23140969589394167,3780
ElasticNet,B,expanding,1,24,0.2505077691306157,3780
ElasticNet,B,expanding,1,25,0.23603053594494222,3780
ElasticNet,B,expanding,1,26,0.27008216071176877,3780
ElasticNet,B,rolling_9m_3m,1,0,0.23974514024884097,3717
ElasticNet,B,rolling_9m_3m,1,1,0.28133091785800235,3717
ElasticNet,B,rolling_9m_3m,1,2,0.29658094152492537,3717
ElasticNet,B,rolling_9m_3m,1,3,0.24511892579683686,3717
ElasticNet,B,rolling_9m_3m,1,4,0.2635198893351093,3717
ElasticNet,B,rolling_9m_3m,1,5,0.22894902677209147,3717
ElasticNet,B,rolling_9m_3m,1,6,0.25854208156415626,3717
ElasticNet,B,rolling_9m_3m,1,7,0.252927371852523,3717
ElasticNet,B,rolling_9m_3m,1,8,0.32213589702231726,3717
ElasticNet,B,rolling_9m_3m,1,9,0.2775111081627418,3717
ElasticNet,B,rolling_9m_3m,1,10,0.27471829642627793,3717
ElasticNet,B,rolling_9m_3m,1,11,0.26548493768753323,3717
ElasticNet,B,rolling_9m_3m,1,12,0.26359828671849017,3717
ElasticNet,B,rolling_9m_3m,1,13,0.12748460678687512,3717
ElasticNet,B,rolling_9m_3m,1,14,0.3231334066808568,3717
ElasticNet,B,rolling_9m_3m,1,15,0.2772116460826947,3717
ElasticNet,B,rolling_9m_3m,1,16,0.28936095657210587,3717
ElasticNet,B,rolling_9m_3m,1,17,0.27233400090009696,3717
ElasticNet,B,rolling_9m_3m,1,18,0.2695530159777443,3726
ElasticNet,B,rolling_9m_3m,1,19,0.29231125017709914,3780
ElasticNet,B,rolling_9m_3m,1,20,0.23673682998024906,3780
ElasticNet,B,rolling_9m_3m,1,21,0.2930983976587934,3730
ElasticNet,B,rolling_9m_3m,1,22,0.3621545162843955,3740
ElasticNet,B,rolling_9m_3m,1,23,0.28372426441294285,3780
ElasticNet,B,rolling_9m_3m,1,24,0.3030206122925586,3780
ElasticNet,B,rolling_9m_3m,1,25,0.3068957752392196,3780
ElasticNet,B,rolling_9m_3m,1,26,0.27621413236170833,3780
ElasticNet,B,rolling_9m_3m,1,27,0.23897630837313727,3780
ElasticNet,B,rolling_9m_3m,1,28,0.2437752791437406,3780
ElasticNet,B,rolling_9m_3m,1,29,0.26987470672855884,3780
ElasticNet,B,rolling_9m_3m,1,30,0.2508388965685765,3780
ElasticNet,B,rolling_9m_3m,1,31,0.2531802305340735,3780
XGBoost,B,expanding,1,0,0.23126249909232216,3717
XGBoost,B,expanding,1,1,0.26775845385293867,3717
XGBoost,B,expanding,1,2,0.2657226362015353,3717
XGBoost,B,expanding,1,3,0.33359544178441236,3717
XGBoost,B,expanding,1,4,0.2915126015278161,3717
XGBoost,B,expanding,1,5,0.28642774778109076,3717
XGBoost,B,expanding,1,6,0.26740016838588626,3717
