pooled_r2,pooled_rmse,pooled_accuracy,pooled_ic,model,feature_set,scheme,horizon,n_windows
-0.0016157173584758,0.0272532563153376,0.505415590967091,0.0097954122820002,ElasticNet,repr_grid_raw,expanding,3,27
-0.0037817090651603,0.0264234833396106,0.5001671095068598,0.0018368635745463,ElasticNet,repr_grid_raw,rolling_9m_3m,3,32
-0.0007104454419746,0.0272409376264983,0.5122209363284767,0.0188646027064584,XGBoost,repr_grid_raw,expanding,3,27
-0.0049042851001097,0.026438254519599,0.5067762905031667,0.0066850685829493,XGBoost,repr_grid_raw,rolling_9m_3m,3,32
-0.0005637941191456,0.0272389415116741,0.5052968930828808,-0.0046004991215171,OLS,repr_bkm,expanding,3,27
-0.0040994493636372,0.0264276650960142,0.5031416587289651,0.0038251100627586,OLS,repr_bkm,rolling_9m_3m,3,32
-0.0002041911938257,0.027234046229951,0.5086896742732228,0.0130557569863759,ElasticNet,repr_bkm,expanding,3,27
-0.004544080157707,0.0264335157381894,0.5003759963904346,-0.0020082315741369,ElasticNet,repr_bkm,rolling_9m_3m,3,32
8.26363619031989e-05,0.027230141009855,0.5087786976863804,0.0152250042732238,XGBoost,repr_bkm,expanding,3,27
-0.0045287543259382,0.026433314095888,0.5025400645042697,0.0013918175530829,XGBoost,repr_bkm,rolling_9m_3m,3,32
-0.0010628417509044,0.0350404543301502,0.5046440547197246,-0.0060029994542927,OLS,A,expanding,5,27
-0.0053442520585906,0.0340815651247296,0.502172423589178,0.000716253006478,OLS,A,rolling_9m_3m,5,32
-0.0014694596192332,0.0350475700813808,0.5107273212854981,0.0103890073793394,ElasticNet,A,expanding,5,27
-0.0021729947331481,0.0340277692331608,0.5013535870055648,0.0074490255802199,ElasticNet,A,rolling_9m_3m,5,32
0.0001270890485935,0.035019622414285,0.5088578296091872,-0.0019337858455384,XGBoost,A,expanding,5,27
-0.009876689247209,0.0341583044309064,0.5035260105947428,-0.0003137542788095,XGBoost,A,rolling_9m_3m,5,32
-2.4391734596784787e-05,0.0350222750508692,0.4998862478609652,0.0041160216166828,OLS,B,expanding,5,27
-0.0001594152331756,0.0339935675184032,0.4995822262328503,0.008752691651839,OLS,B,rolling_9m_3m,5,32
0.0001817927645182,0.0350186644276957,0.51365520242935,0.0131327926059734,ElasticNet,B,expanding,5,27
-0.0042330016966494,0.0340627240048854,0.5044033355057569,0.015834281841441,ElasticNet,B,rolling_9m_3m,5,32
-0.0004237437083498,0.0350292672896284,0.5117461447916357,0.0171204136915221,XGBoost,B,expanding,5,27
-0.0044850951374364,0.0340669991334911,0.5094583980882672,0.0142488800131094,XGBoost,B,rolling_9m_3m,5,32
-2.439173396240335e-05,0.0350222750508581,0.4998862478609652,0.0041160187683863,OLS,C,expanding,5,27
-0.0001594151907771,0.0339935675176827,0.4995822262328503,0.0087526992675012,OLS,C,rolling_9m_3m,5,32
-0.0005402333946984,0.0350313066402571,0.5099162190767282,0.0123752075546874,ElasticNet,C,expanding,5,27
-0.0060092998530942,0.0340928359518484,0.5004094182918066,0.005585187308596,ElasticNet,C,rolling_9m_3m,5,32
-0.000255343705914,0.0350263189504898,0.5089369615319941,0.0054011095468471,XGBoost,C,expanding,5,27
-0.0024406791760676,0.03403231340684,0.5022225564412359,0.0028098549337014,XGBoost,C,rolling_9m_3m,5,32
-0.0044465517456817,0.0350996247973768,0.5119143001276002,0.0182522046369281,OLS,candidate_6,expanding,5,27
-0.0381778625008537,0.0346336300034586,0.5138450226433382,0.0188083241699638,OLS,candidate_6,rolling_9m_3m,5,32
2.260724354297139e-05,0.0350214520557036,0.5118846256565477,0.0167775727368129,ElasticNet,candidate_6,expanding,5,27
-0.0082709560971667,0.0341311372813764,0.5068514897812536,0.0099370171222538,ElasticNet,candidate_6,rolling_9m_3m,5,32
-0.0002173667600111,0.0350256540176531,0.5152971898275913,0.0095028419429004,XGBoost,candidate_6,expanding,5,27
-0.002536509395127,0.0340339400597568,0.5095085309403252,0.0156977414542826,XGBoost,candidate_6,rolling_9m_3m,5,32
-0.0010616883467462,0.0350404341436966,0.5045847057776195,-0.0060597606918175,OLS,D,expanding,5,27
-0.0045553976427723,0.0340681912634171,0.5034842332180278,0.0075655482554491,OLS,D,rolling_9m_3m,5,32
-0.0003345313664071,0.0350277053951498,0.5105987319109371,0.0163523069472604,ElasticNet,D,expanding,5,27
-0.0044218035561478,0.0340659258531504,0.5028826389933323,0.011120834436777,ElasticNet,D,rolling_9m_3m,5,32
-0.0029160071533347,0.0350728727411096,0.5146245684837334,0.013547431086955,XGBoost,D,expanding,5,27
-0.0049625389383876,0.0340750943980922,0.5057067896592637,0.0022002196907894,XGBoost,D,rolling_9m_3m,5,32
-0.0010626175036041,0.0350404504054577,0.5046440547197246,-0.0060023548964155,OLS,repr_svi,expanding,5,27
-0.0053442443878084,0.0340815649947083,0.502172423589178,0.0007151077809749,OLS,repr_svi,rolling_9m_3m,5,32
-0.0019988771153887,0.0350568326430413,0.5093227296556773,0.0145596987813006,ElasticNet,repr_svi,expanding,5,27
