model,feature_set,scheme,horizon,n_windows,pooled_ic,pooled_r2
ElasticNet,repr_grid,rolling_9m_3m,3,32,0.4069731846462696,0.18826078934502
XGBoost,repr_grid,expanding,3,27,0.456735809320166,0.25224819412429167
XGBoost,repr_grid,rolling_9m_3m,3,32,0.429712282742527,0.24920541206749203
OLS,repr_grid_raw,expanding,3,27,0.2221511618979221,0.07497120931411105
OLS,repr_grid_raw,rolling_9m_3m,3,32,0.26569691349618796,0.09391669788974699
ElasticNet,repr_grid_raw,expanding,3,27,0.4916980320209401,0.29377299406542523
ElasticNet,repr_grid_raw,rolling_9m_3m,3,32,0.41112514482809803,0.1948866071707379
XGBoost,repr_grid_raw,expanding,3,27,0.4609367882812356,0.25704982691102507
XGBoost,repr_grid_raw,rolling_9m_3m,3,32,0.4274729498368141,0.2481931694675975
OLS,repr_bkm,expanding,3,27,0.24792096793511487,0.0847336474348408
OLS,repr_bkm,rolling_9m_3m,3,32,0.28459188370201527,0.08253534162991472
ElasticNet,repr_bkm,expanding,3,27,0.439236075284356,0.22839494527595672
ElasticNet,repr_bkm,rolling_9m_3m,3,32,0.35435858743427623,0.0977939519319877
XGBoost,repr_bkm,expanding,3,27,0.40645115055050113,0.216806286139532
XGBoost,repr_bkm,rolling_9m_3m,3,32,0.3795447888743996,0.2040846277701649
OLS,A,expanding,5,27,0.26321092224748865,0.10050529173289968
OLS,A,rolling_9m_3m,5,32,0.2480364738951956,0.08635336718820097
ElasticNet,A,expanding,5,27,0.5087414564127991,0.29430333273007936
ElasticNet,A,rolling_9m_3m,5,32,0.40605567710386375,0.10021211321073131
