feature_set,scheme,horizon,N,n_draws,se_mean,se_median,se_p05,se_p95,se_pred_sqrtN,ic_mean,ic_sd_across_draws,se_full_ref,n_full,mean_ic_full,t_full,recon_max_abs_err
D,expanding,5,50,40,0.007720216576495781,0.007614496484245366,0.006541288877320237,0.009212895839549082,0.008267645734838396,0.010112374038647256,0.003294446719117406,0.007547293444053941,60,0.009588902836143477,1.270508813155794,
D,expanding,5,60,1,0.007547293444053941,0.007547293444053941,0.007547293444053941,0.007547293444053941,0.007547293444053941,0.009588902836143477,,0.007547293444053941,60,0.009588902836143477,1.270508813155794,
D,rolling_9m_3m,1,20,40,0.006096850418992685,0.0059456606105010475,0.003908830776499773,0.008716648013655818,0.006450833557048399,0.003693045341029412,0.003964508213687047,0.0037243904906593644,60,0.003921974479726598,1.053051362246458,
D,rolling_9m_3m,1,30,40,0.004819384098445361,0.004762445598406313,0.00328334324829969,0.006336500434448836,0.0052670835434638595,0.004547851455020459,0.0032643865408280136,0.0037243904906593644,60,0.003921974479726598,1.053051362246458,
D,rolling_9m_3m,1,40,40,0.0040015233329618845,0.004103837062541241,0.0027342644911858556,0.005311332188150462,0.00456142815249466,0.004786369588601591,0.001780172208273275,0.0037243904906593644,60,0.003921974479726598,1.053051362246458,
D,rolling_9m_3m,1,50,40,0.00407964349564793,0.0040323604221159225,0.00340335017670327,0.005025562011041054,0.004079865369383735,0.003558314595870496,0.001729719807403989,0.0037243904906593644,60,0.003921974479726598,1.053051362246458,
D,rolling_9m_3m,1,60,1,0.0037243904906593644,0.0037243904906593644,0.0037243904906593644,0.0037243904906593644,0.0037243904906593644,0.003921974479726598,,0.0037243904906593644,60,0.003921974479726598,1.053051362246458,
D,rolling_9m_3m,3,20,40,0.008594921278648346,0.008391773875362309,0.0061094674732874105,0.01101839455079456,0.008464121690313044,0.005534163824772813,0.0053758301815727,0.004886762936355987,60,0.0033591233924800037,0.6873923364461118,
D,rolling_9m_3m,3,30,40,0.006796699212702996,0.006629995960323731,0.004864336390420392,0.008657244991953158,0.006910926420696807,0.004259931593546533,0.003683599865546909,0.004886762936355987,60,0.0033591233924800037,0.6873923364461118,
D,rolling_9m_3m,3,40,40,0.005784958393160938,0.005790725441020644,0.004815236674289426,0.006883145906313423,0.005985037844008497,0.0036166714753998195,0.002901185661047143,0.004886762936355987,60,0.0033591233924800037,0.6873923364461118,
D,rolling_9m_3m,3,50,40,0.005559447290682776,0.005616691393549171,0.0044666702901650125,0.006713534883704897,0.0053531805868447125,0.0027234385746872326,0.002229452342210845,0.004886762936355987,60,0.0033591233924800037,0.6873923364461118,
D,rolling_9m_3m,3,60,1,0.004886762936355987,0.004886762936355987,0.004886762936355987,0.004886762936355987,0.004886762936355987,0.0033591233924800037,,0.004886762936355987,60,0.0033591233924800037,0.6873923364461118,
D,rolling_9m_3m,5,20,40,0.010919867840240538,0.01101530633444671,0.008379563847476606,0.014054115922288698,0.011285791772495687,-0.0008153532317114511,0.0069102522576428675,0.0065158549178684485,60,-0.0026557469160067553,-0.40758226656089175,
D,rolling_9m_3m,5,30,40,0.00882234609983797,0.008803978700564648,0.006259252790145618,0.010783674736202736,0.00921481039530499,-0.00031561168673556564,0.004597122283063135,0.0065158549178684485,60,-0.0026557469160067553,-0.40758226656089175,
